repoName,loc,sloc,comments
CyC2018/CS-Notes,28945,27441,1504
Snailclimb/JavaGuide,676,614,62
iluwatar/java-design-patterns,96254,47011,49243
MisterBooo/LeetCodeAnimation,367,347,20
elastic/elasticsearch,2289010,1921282,367728
spring-projects/spring-boot,504399,351122,153277
kdn251/interviews,18175,11593,6582
doocs/advanced-java,183,183,0
ReactiveX/RxJava,390903,311631,79272
macrozheng/mall,91654,88696,2958
spring-projects/spring-framework,1055672,703377,352295
google/guava,673244,498140,175104
square/okhttp,40580,36316,4264
square/retrofit,32735,27109,5626
apache/dubbo,250078,182432,67646
PhilJay/MPAndroidChart,35823,26779,9044
TheAlgorithms/Java,16615,11651,4964
bumptech/glide,91461,77662,13799
airbnb/lottie-android,22840,20412,2428
Blankj/AndroidUtilCode,60587,42940,17647
zxing/zxing,198325,171293,27032
proxyee-down-org/proxyee-down,5796,5423,373
JakeWharton/butterknife,14999,14218,781
crossoverJie/JCSprout,5699,4308,1391
kon9chunkit/GitHub-Chinese-Top-Charts,0,0,0
netty/netty,411186,306396,104790
ityouknow/spring-boot-examples,16079,15813,266
skylot/jadx,75913,72809,3104
alibaba/arthas,98242,83137,15105
eugenp/tutorials,1036227,961870,74357
greenrobot/EventBus,8000,6155,1845
alibaba/fastjson,193189,179305,13884
ctripcorp/apollo,89153,83631,5522
NationalSecurityAgency/ghidra,2078584,1568184,510400
alibaba/druid,453919,384281,69638
scwang90/SmartRefreshLayout,31627,26618,5009
CymChad/BaseRecyclerViewAdapterHelper,6933,5959,974
Netflix/Hystrix,67918,50637,17281
geekxh/hello-algorithm,2814,1845,969
ReactiveX/RxAndroid,1686,1423,263
SeleniumHQ/selenium,998204,702263,295941
lenve/vhr,13087,11650,1437
google/gson,35373,26575,8798
xkcoding/spring-boot-demo,33164,23753,9411
square/picasso,9114,8010,1104
libgdx/libgdx,926808,762818,163990
seata/seata,122191,79539,42652
hollischuang/toBeTopJavaer,64,58,6
chrisbanes/PhotoView,2227,1864,363
alibaba/easyexcel,28578,21027,7551
apache/kafka,678931,534767,144164
qiurunze123/miaosha,286483,254088,32395
wuyouzhuguli/SpringAll,30917,28913,2004
halo-dev/halo,43841,32559,11282
nostra13/Android-Universal-Image-Loader,12789,7539,5250
google/ExoPlayer,286365,212058,74307
facebook/fresco,782230,738809,43421
jenkinsci/jenkins,377402,261476,115926
alibaba/canal,111873,92355,19518
looly/hutool,171548,93546,78002
alibaba/spring-cloud-alibaba,38227,28139,10088
xuxueli/xxl-job,33335,28432,4903
shuzheng/zheng,97952,90378,7574
didi/DoraemonKit,135584,111501,24083
zhangdaiscott/jeecg-boot,171380,145767,25613
bazelbuild/bazel,1233056,957324,275732
dbeaver/dbeaver,510886,413172,97714
Tencent/tinker,51311,40433,10878
CarGuo/GSYVideoPlayer,42811,36452,6359
apache/skywalking,280438,194232,86206
android10/Android-CleanArchitecture,4786,3068,1718
redisson/redisson,222941,165352,57589
alibaba/nacos,173992,125402,48590
mybatis/mybatis-3,131142,100850,30292
linlinjava/litemall,154071,107247,46824
dianping/cat,701219,641162,60057
apache/flink,2005026,1501299,503727
forezp/SpringCloudLearning,81418,80399,1019
winterbe/java8-tutorial,3173,2822,351
alibaba/Sentinel,102496,74030,28466
brettwooldridge/HikariCP,17566,13978,3588
signalapp/Signal-Android,379504,347547,31957
oracle/graal,1434795,1002629,432166
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2237,1498,739
JeffLi1993/springboot-learning-example,9096,7086,2010
openzipkin/zipkin,77756,63563,14193
hdodenhof/CircleImageView,507,485,22
lgvalle/Material-Animations,2008,1933,75
react-native-community/lottie-react-native,1468,1296,172
LMAX-Exchange/disruptor,19583,14370,5213
orhanobut/logger,1316,1005,311
alibaba/ARouter,6101,4555,1546
apache/rocketmq,121975,99583,22392
Tencent/QMUI_Android,82100,68801,13299
greenrobot/greenDAO,25484,20516,4968
apache/shardingsphere,279443,194862,84581
Bigkoo/Android-PickerView,6022,5027,995
dyc87112/SpringBoot-Learning,14957,14024,933
facebook/stetho,23136,19214,3922
Curzibn/Luban,1429,1192,237